ID,TrackID,BBox,ClassID,Frame
1,0,"[351.0, 115.0, 397.0, 160.0]",['Player_B'],0
2,1,"[166.0, 36.0, 213.0, 83.0]",['Player_B'],0
3,2,"[123.0, 46.0, 168.0, 94.0]",['Player_A'],0
4,3,"[5.6, 268.4, 50.6, 315.2]",['Player_A'],0
5,4,"[24.0, 299.0, 48.0, 322.0]",['Basketball'],0
6,5,"[219.0, 113.0, 264.0, 157.0]",['Player_B'],0
7,6,"[76.0, 439.0, 122.0, 484.0]",['Player_A'],0
8,7,"[199.0, 170.0, 244.0, 214.0]",['Player_B'],0
9,8,"[240.0, 421.0, 286.0, 466.0]",['Player_A'],0
10,9,"[39.0, 135.0, 84.0, 182.0]",['Player_B'],0
11,10,"[112.0, 82.0, 158.0, 127.0]",['Player_A'],0
12,0,"[350.0, 115.0, 396.0, 160.0]",['Player_B'],1
13,1,"[167.0, 36.0, 213.0, 83.0]",['Player_B'],1
14,2,"[123.0, 47.0, 168.0, 94.0]",['Player_A'],1
15,3,"[4.0, 269.0, 49.0, 314.2]",['Player_A'],1
16,4,"[20.0, 301.0, 45.0, 325.0]",['Basketball'],1
17,5,"[219.0, 112.0, 264.0, 157.0]",['Player_B'],1
18,6,"[75.0, 439.0, 121.0, 483.0]",['Player_A'],1
19,7,"[201.0, 170.0, 244.0, 214.0]",['Player_B'],1
20,8,"[240.0, 420.0, 286.0, 466.0]",['Player_A'],1
21,9,"[39.0, 134.0, 84.0, 181.0]",['Player_B'],1
22,10,"[113.0, 83.0, 158.0, 128.0]",['Player_A'],1
23,0,"[349.0, 115.0, 394.0, 160.0]",['Player_B'],2
24,1,"[169.0, 36.0, 215.0, 83.0]",['Player_B'],2
25,2,"[122.0, 47.0, 168.0, 93.0]",['Player_A'],2
26,3,"[3.6, 269.0, 49.0, 314.7]",['Player_A'],2
27,4,"[17.0, 303.0, 40.0, 327.0]",['Basketball'],2
28,5,"[219.0, 110.0, 264.0, 157.0]",['Player_B'],2
29,6,"[75.0, 439.0, 121.0, 484.0]",['Player_A'],2
30,7,"[200.0, 171.0, 244.0, 215.0]",['Player_B'],2
31,8,"[239.0, 420.0, 285.0, 465.0]",['Player_A'],2
32,9,"[39.0, 134.0, 84.0, 181.0]",['Player_B'],2
33,10,"[113.0, 85.0, 158.0, 130.0]",['Player_A'],2
34,0,"[349.0, 115.0, 393.0, 160.0]",['Player_B'],3
35,1,"[169.0, 37.0, 215.0, 83.0]",['Player_B'],3
36,2,"[122.0, 47.0, 168.0, 93.0]",['Player_A'],3
37,3,"[1.1, 269.0, 47.0, 314.1]",['Player_A'],3
38,4,"[15.0, 303.0, 38.0, 326.0]",['Basketball'],3
39,5,"[219.0, 109.0, 265.0, 155.0]",['Player_B'],3
40,6,"[74.0, 439.0, 120.0, 484.0]",['Player_A'],3
41,7,"[200.0, 171.0, 244.0, 215.0]",['Player_B'],3
42,8,"[238.0, 420.0, 284.0, 465.0]",['Player_A'],3
43,9,"[38.0, 134.0, 85.0, 180.0]",['Player_B'],3
44,10,"[114.0, 86.0, 160.0, 131.0]",['Player_A'],3
45,0,"[346.0, 113.0, 392.0, 159.0]",['Player_B'],4
46,1,"[171.0, 37.0, 216.0, 83.0]",['Player_B'],4
47,2,"[124.0, 49.0, 169.0, 95.0]",['Player_A'],4
48,3,"[3.0, 271.0, 47.0, 315.0]",['Player_A'],4
49,4,"[14.0, 305.0, 38.0, 329.0]",['Basketball'],4
50,5,"[219.0, 108.0, 264.0, 154.0]",['Player_B'],4
51,6,"[74.0, 440.0, 120.0, 486.0]",['Player_A'],4
52,7,"[201.0, 172.0, 244.0, 216.0]",['Player_B'],4
53,8,"[239.0, 418.0, 284.0, 464.0]",['Player_A'],4
54,9,"[38.0, 133.0, 85.0, 179.0]",['Player_B'],4
55,10,"[114.0, 88.0, 159.0, 133.0]",['Player_A'],4
56,0,"[345.0, 114.0, 391.0, 159.0]",['Player_B'],5
57,1,"[171.0, 38.0, 217.0, 84.0]",['Player_B'],5
58,2,"[124.0, 49.0, 169.0, 95.0]",['Player_A'],5
59,3,"[2.0, 271.0, 46.0, 314.6]",['Player_A'],5
60,4,"[14.0, 305.0, 38.0, 329.0]",['Basketball'],5
61,5,"[219.0, 108.0, 264.0, 154.0]",['Player_B'],5
62,6,"[73.0, 440.0, 119.0, 485.0]",['Player_A'],5
63,7,"[201.0, 172.0, 244.0, 216.0]",['Player_B'],5
64,8,"[238.0, 417.0, 283.0, 462.0]",['Player_A'],5
65,9,"[39.0, 133.0, 85.0, 179.0]",['Player_B'],5
66,10,"[114.0, 88.0, 159.0, 133.0]",['Player_A'],5
67,0,"[344.0, 114.0, 390.0, 158.0]",['Player_B'],6
68,1,"[172.0, 38.0, 218.0, 84.0]",['Player_B'],6
69,2,"[124.0, 50.0, 169.0, 95.0]",['Player_A'],6
70,3,"[2.0, 271.0, 47.0, 316.0]",['Player_A'],6
71,4,"[15.0, 303.0, 39.0, 326.6]",['Basketball'],6
72,5,"[219.0, 107.0, 264.0, 153.0]",['Player_B'],6
73,6,"[73.0, 441.0, 119.0, 486.0]",['Player_A'],6
74,7,"[201.0, 172.0, 244.0, 216.0]",['Player_B'],6
75,8,"[237.0, 416.0, 282.0, 461.0]",['Player_A'],6
76,9,"[39.0, 132.0, 85.0, 178.0]",['Player_B'],6
77,10,"[115.0, 89.0, 161.0, 134.0]",['Player_A'],6
78,0,"[344.0, 114.0, 388.0, 158.0]",['Player_B'],7
79,1,"[173.0, 38.0, 219.0, 84.0]",['Player_B'],7
80,2,"[125.0, 50.0, 169.0, 95.0]",['Player_A'],7
81,3,"[1.6, 271.0, 45.0, 316.3]",['Player_A'],7
82,4,"[17.0, 302.0, 41.0, 327.0]",['Basketball'],7
83,5,"[221.0, 106.0, 266.0, 152.0]",['Player_B'],7
84,6,"[72.0, 441.0, 118.0, 486.0]",['Player_A'],7
85,7,"[201.0, 173.0, 244.0, 218.0]",['Player_B'],7
86,8,"[237.0, 416.0, 282.0, 461.0]",['Player_A'],7
87,9,"[39.0, 131.0, 85.0, 177.0]",['Player_B'],7
88,10,"[115.0, 90.0, 160.0, 136.0]",['Player_A'],7
89,0,"[343.0, 114.0, 387.0, 159.0]",['Player_B'],8
90,1,"[174.0, 39.0, 220.0, 85.0]",['Player_B'],8
91,2,"[125.0, 51.0, 171.0, 95.0]",['Player_A'],8
