,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
Unnamed: 0,-0.10717508369185418,0.3384197762303773,0.17974252457576836,0.130752099254854,-0.09357121295095436,0.035838207099689885,0.0015220820707279215,-0.018798588414473426,-0.03495122657062174,0.03648681479820071,-0.0012082357880306635,-0.030460921316534748,0.014442217853011235,-0.05829380982836344,-0.025792571670334382,0.01283405869109778
TrackID,0.11402906826862129,0.3014687420702832,-0.1134585967518621,0.11266504438258575,0.07365331699922455,-0.02662102282438329,-0.04305690983227868,-0.17206390623055914,-0.021187190969826186,0.057333101897664995,-0.2584138530238365,0.134488395977832,-0.004741824826142715,-0.04920071391981942,-0.0033672803429373034,0.06857229257657915
ConfidenceScore,-0.16878085731373077,-0.13297485422782374,0.04866455829110579,-0.09238246962571287,-0.07645550109254286,0.013649947228122164,0.025300160301781,-0.05918236270262787,0.026918395344351465,-0.03559888895076831,-0.022274364837219236,0.0068497923477876844,-0.012777848596294548,0.0314474651751932,0.09326034633161075,-0.009515066369351679
State,-0.24933847849519075,-0.14542130857450264,0.09223007008764406,-0.01998031423606083,0.08680092447806577,-0.008161024415991865,0.025768616680196085,-0.16836182908924274,0.002147242107045712,-0.005868798157807097,-0.13474745338863228,0.09057837979333663,-0.018432777717892816,0.013905655403618315,0.02399547129262532,0.03126505721370408
Hits,-0.2629330728871073,-0.05407745031090616,0.19208035281003874,0.018205771941757945,-0.0864212414377926,0.03422922282666049,0.004136389792391916,-0.015996796608615593,-0.02918562892351871,0.016560749222066854,0.060204533430797784,-0.051121048729139015,0.019657747458304824,-0.032378489038675774,-0.0300377620919706,-0.009231581005469062
Age,-0.2630288037831407,-0.05452837484563221,0.19382231799954597,0.02604897223121575,-0.07388240155116893,0.03220793068210529,0.004096742567960513,-0.018140018808772928,-0.02888396690590055,0.01648619375365041,0.06187781933611879,-0.05169186060351166,0.018850268428816336,-0.03185253527385611,-0.030198152298427094,-0.009140999148031351
Frame,-0.10742116581476092,0.3386052728844899,0.18099177326828061,0.12835476330563067,-0.09320517952932725,0.032665925011827183,0.0010556796222497655,-0.01843996045686342,-0.030482315214941474,0.0349401707712633,-0.0007995363225614034,-0.02934797245811399,0.01392485181323325,-0.05683017836802189,-0.02467023076321444,0.011880449091255723
is_Team_A,-1.6684448933785905e-21,-6.444203326508971e-20,-5.467767415768667e-20,1.8809282642752572e-18,2.0464843816441074e-18,2.431268674438491e-18,-1.2642153427737353e-17,-7.950663854955542e-18,-7.394337551472966e-18,6.937070656062651e-17,2.5772974720460175e-17,-1.1245036441566789e-17,2.3618844882706806e-17,1.903015744726257e-17,2.00987749803856e-17,-4.280283454026402e-17
is_Team_B,5.770813000581563e-22,-4.1444870852522024e-20,3.722182734592087e-21,2.233197523763406e-18,2.0591936514717232e-20,9.782228862195874e-18,-2.1348826938961893e-17,-2.262416417459327e-18,-1.644276363625188e-17,2.439981244526812e-17,-4.562907039612585e-17,-3.868808495214955e-17,-7.044482213552934e-18,-4.7088991565707084e-17,2.2811143384445048e-17,1.4694478359384506e-17
is_Basketball,0.017217736823899436,0.032763318280914645,-0.06260094574226113,0.09146762430395654,0.18408733812295,-0.05119602174121742,-0.023523058064912776,-0.04366486994261737,0.009168770465673217,-0.035660603139494075,0.6697261405454157,-0.2862505880262816,0.0462819380567843,-0.037571231559321,-0.1225870219556187,-0.05594266079456982
state_tentative,0.24933847849519075,0.14542130857450264,-0.09223007008764403,0.019980314236060854,-0.08680092447806592,0.008161024415991895,-0.025768616680196088,0.16836182908924277,-0.002147242107045798,0.005868798157807143,0.13474745338863237,-0.09057837979333662,0.018432777717892826,-0.01390565540361834,-0.023995471292625335,-0.03126505721370408
state_confirmed,-0.24933847849519075,-0.14542130857450264,0.09223007008764403,-0.019980314236060854,0.08680092447806592,-0.008161024415991897,0.025768616680196088,-0.16836182908924277,0.002147242107045799,-0.005868798157807132,-0.13474745338863234,0.09057837979333659,-0.018432777717892847,0.013905655403618444,0.023995471292625293,0.03126505721370407
time_since_start,-0.1074211658147609,0.3386052728844899,0.18099177326828061,0.12835476330563064,-0.09320517952932726,0.032665925011827336,0.0010556796222497779,-0.018439960456863386,-0.03048231521494146,0.03494017077126328,-0.0007995363225614498,-0.029347972458113984,0.013924851813233361,-0.056830178368022,-0.02467023076321432,0.011880449091255735
delta_time,-0.21843743629000537,-0.11248126342446804,-0.008469108621845673,-0.016759231627905873,0.09237916971059519,-0.018324066715518172,0.03215462105519043,-0.07868806821239135,0.034225181722159076,-0.023272736512453426,0.08716843646480822,0.009935835690190874,0.0010948738589194912,0.00834593506360533,-0.06822950991517403,0.0166336717170089
key_frame_s,0.013726264185152284,-0.006591567747681292,0.019817756518551465,0.019652115259406123,-0.02155356331035573,0.0713004420936291,-0.06353318957129962,-0.02024243962062351,0.21246256734001612,-0.15726667987715887,-0.18572003867460005,-0.44245318524944055,-0.138582883870682,-0.2034232605245404,0.3458056103523122,-0.23097292108419412
feature_min,-0.007626185212115806,0.020631562447559364,0.055299254512871446,0.14487869013621818,0.2921235330228653,-0.025306254980283365,0.01921884063338614,-0.17654288542261257,-0.0207345157368474,-0.000904838899604069,0.021050645894654822,-0.09323476019488688,0.014339652544475757,-0.06711787911772024,0.11291753703602754,-0.028594126392411514
cov_trace,0.22299432054258317,-0.09987489399514446,0.28554397848868335,0.010347356377575825,-0.007418753588410622,0.019872345308627193,0.01685268798856933,-0.08618534985722016,-0.018227643494804626,0.010389411975373342,-0.026015601739855645,0.02073898851854031,-0.0014532659337314104,-0.0010161463816352823,-0.008273592985805657,0.007489582642960827
cov_pos_variance_x,0.20936690349559617,-0.1082101660601658,0.2942995625157443,0.02484274665700989,0.019424604639290934,0.01763544309497765,0.018708442284466453,-0.09390792219603794,-0.02108468288679784,0.014686180898460476,-0.0562147113388297,0.03234547374485671,-0.004983582450923808,9.832811429666866e-06,0.0009766312377153786,0.009185961253378568
