                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88585,                 3.7165,                0.96402,                0.00516,                0.11111,                0.00412,                0.00195,                0.81546,                 7.1573,                0.58743,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                0.80559,                 3.3717,                0.92165,                0.01823,                    0.4,                 0.1338,                0.07381,                0.78054,                 6.9916,                0.56965,             9.0127e-05,             9.0127e-05,             9.0127e-05
                      3,                0.78358,                 2.6259,                0.89133,                0.03301,                0.66667,                0.41146,                0.27427,                0.82396,                 6.4947,                0.55782,             0.00012607,             0.00012607,             0.00012607
                      4,                0.83838,                 1.7987,                0.90411,                0.03742,                0.66667,                0.43707,                0.28781,                0.85602,                 5.9896,                0.56509,             0.00015069,             0.00015069,             0.00015069
                      5,                0.81964,                 1.4368,                0.89376,                0.03721,                0.66667,                0.46985,                0.30347,                0.87151,                 5.6223,                0.56575,             0.00016399,             0.00016399,             0.00016399
                      6,                0.71069,                 1.1915,                 0.8856,                0.66787,                0.47207,                 0.4788,                0.33151,                0.87336,                 5.1715,                0.56448,             0.00016598,             0.00016598,             0.00016598
                      7,                0.74628,                 1.0548,                0.89647,                      1,                 0.2759,                0.50658,                0.36159,                0.87183,                   4.93,                0.56553,             0.00015665,             0.00015665,             0.00015665
                      8,                0.76055,                0.96378,                0.88592,                      1,                0.33752,                0.54474,                0.36857,                0.89991,                 4.7288,                0.56919,               0.000136,               0.000136,               0.000136
                      9,                0.72959,                0.90181,                0.88419,                      1,                0.33185,                0.52412,                0.35378,                0.88474,                 4.5756,                0.56734,             0.00010403,             0.00010403,             0.00010403
                     10,                0.75877,                 0.8855,                0.90374,                      1,                0.25584,                0.44383,                0.33245,                0.85075,                 4.4416,                0.56315,             6.0747e-05,             6.0747e-05,             6.0747e-05
