                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87483,                 3.4442,                0.95852,                0.87842,                 3.9574,                 0.9126,                0.00058,                0.02222,                0.00039,                0.00017,                0.75597,                 7.1352,                 0.5751,                0.65638,                 8.5979,                0.59942,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                0.83339,                 3.0538,                0.91036,                0.81433,                 3.3956,                0.88952,                0.07979,                0.26667,                0.07203,                0.02945,                 0.7124,                 6.9804,                0.56406,                 0.6889,                 8.2442,                0.56868,             9.0127e-05,             9.0127e-05,             9.0127e-05
                      3,                0.82727,                 2.5805,                0.90164,                0.76219,                 2.8099,                0.87215,                0.05199,                0.64444,                0.27464,                0.17375,                0.86388,                 6.6466,                 0.5648,                0.75478,                 7.4473,                 0.5375,             0.00012607,             0.00012607,             0.00012607
                      4,                0.84899,                 2.1644,                0.88916,                0.77006,                 2.4211,                0.86349,                0.04048,                0.65556,                0.36773,                0.24084,                0.78775,                 6.4557,                0.54986,                0.60518,                 7.7099,                0.52036,             0.00015069,             0.00015069,             0.00015069
                      5,                0.86918,                 1.6953,                0.89145,                0.79545,                 2.1549,                0.85942,                 0.0421,                0.65556,                0.40448,                0.25791,                0.87212,                 6.4445,                  0.564,                 0.6531,                 7.6696,                0.52073,             0.00016399,             0.00016399,             0.00016399
                      6,                0.78989,                  1.464,                0.89284,                0.70338,                  2.002,                0.86834,                0.05015,                0.65556,                0.44114,                0.26558,                0.84276,                 6.3305,                0.56199,                0.65743,                  7.569,                0.52135,             0.00016598,             0.00016598,             0.00016598
                      7,                0.82503,                  1.303,                0.90756,                0.78387,                 2.0087,                0.90077,                0.05758,                0.65556,                0.47537,                0.28908,                0.86214,                 6.2244,                0.55635,                0.62766,                 7.4655,                0.51767,             0.00015665,             0.00015665,             0.00015665
                      8,                0.80982,                 1.2068,                0.88296,                0.78217,                 2.0056,                0.87474,                0.06187,                0.65556,                0.46689,                0.28222,                0.91086,                  6.138,                0.56538,                 0.6167,                 7.3981,                0.52167,               0.000136,               0.000136,               0.000136
                      9,                0.78669,                 1.1234,                0.88707,                0.75983,                 2.0191,                0.87003,                0.05785,                0.65556,                0.45072,                 0.2721,                0.91302,                 6.0056,                0.56895,                0.63266,                  7.335,                0.52195,             0.00010403,             0.00010403,             0.00010403
                     10,                0.78173,                 1.0697,                0.88804,                0.75796,                 1.9171,                0.88437,                0.05145,                0.65556,                0.48304,                0.31826,                0.85992,                 5.8655,                0.56908,                 0.6418,                 7.2388,                0.52743,             6.0747e-05,             6.0747e-05,             6.0747e-05
